runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
3.9375,915.79,14.06,17.68,10.16,0.23,8.53,0.98,0.25,-0.26,12440004.0,14135856.0
3.28125,911.31,13.01,14.87,11.63,1.13,9.75,0.9,-0.67,0.31,4611134.0,5245794.0
2.90625,918.12,11.95,13.79,10.23,17.36,10.73,1.22,-1.06,0.48,4062628.0,4627070.0
6.28125,917.57,13.79,18.38,8.85,0.19,8.71,1.15,0.71,-0.05,13665930.0,15583874.0
5.5,913.29,16.32,20.65,11.0,0.0,11.45,0.92,-0.33,-0.06,21011092.0,23989380.0
4.25,913.17,17.93,22.92,10.73,0.0,12.67,0.86,0.42,0.11,16189214.0,18504568.0
3.21875,911.93,19.48,24.15,14.7,2.06,14.92,1.24,-0.58,0.32,19385448.0,22184418.0
3.03125,913.84,18.4,22.97,14.62,2.55,15.34,1.09,-0.01,0.47,14305352.0,16389994.0
3.25,911.91,19.46,24.37,13.47,0.85,16.31,1.0,0.29,0.17,19023648.0,21822212.0
3.03125,905.96,22.51,26.45,16.96,0.11,17.42,0.97,-0.28,0.08,18954670.0,21768632.0
2.84375,901.57,21.18,23.92,18.36,2.98,18.02,1.2,-0.92,0.45,10450034.0,12014900.0
2.90625,899.77,23.72,28.28,19.19,0.01,18.5,0.81,0.25,-0.17,18484480.0,21279016.0
2.71875,905.01,21.06,26.33,15.01,17.97,17.03,1.75,-1.47,0.2,14125382.0,16279732.0
5.875,911.83,15.4,17.82,13.88,0.25,11.91,0.93,-0.12,0.58,4537158.0,5235564.0
5.21875,907.03,16.82,19.59,14.22,0.38,12.46,0.67,-0.44,-0.08,10121116.0,11692700.0
4.15625,906.1,17.33,19.59,14.71,0.65,13.61,0.72,-0.33,0.1,9389654.0,10860620.0
3.28125,912.1,14.41,17.48,11.88,13.28,12.93,1.25,-0.79,0.63,4847508.0,5613608.0
4.90625,911.46,14.22,17.18,12.14,2.45,11.06,0.67,0.46,-0.04,6940788.0,8047362.0
4.5625,909.2,16.8,20.14,14.28,0.77,13.16,0.72,-0.37,-0.29,12264308.0,14236558.0
3.75,906.47,16.68,18.68,14.73,0.97,13.82,0.87,-0.74,0.11,6810736.0,7915520.0
3.1875,909.61,16.87,19.21,15.02,4.45,14.52,1.19,-1.05,0.14,7382978.0,8590876.0
3.15625,910.15,16.65,18.96,14.98,1.18,14.12,0.71,-0.53,0.16,6831900.0,7959190.0
3.0,905.62,17.09,19.59,15.32,2.51,14.9,0.89,-0.67,-0.28,7216202.0,8417020.0
2.875,907.38,17.74,20.36,15.41,2.68,15.5,1.01,-0.71,-0.01,7701592.0,8985448.0
2.8125,907.44,19.45,22.8,16.65,7.63,16.32,1.12,-0.65,-0.21,12242644.0,14287048.0
3.28125,910.45,14.78,16.56,13.31,4.54,12.31,1.05,-0.9,0.27,4025610.0,4699092.0
3.90625,909.31,15.55,17.86,13.45,0.3,12.59,0.64,-0.36,-0.17,8461488.0,9879514.0
3.21875,907.44,15.87,17.77,14.56,1.85,13.62,0.79,-0.66,-0.21,6766892.0,7903012.0
2.90625,909.42,16.76,18.55,14.92,1.09,14.08,1.13,-0.45,0.63,6297160.0,7356304.0
2.71875,907.11,18.97,24.65,13.4,0.17,13.94,0.99,0.55,0.2,18183592.0,21247308.0
2.53125,904.97,22.48,27.16,16.72,0.0,15.46,1.11,0.12,-0.07,23410564.0,27361764.0
2.46875,902.59,23.35,27.46,19.67,0.54,17.46,1.2,-0.28,0.27,20569146.0,24046932.0
2.5,901.44,20.36,23.2,18.37,8.11,18.8,0.83,-0.62,0.21,7047444.0,8241180.0
3.15625,906.7,17.75,19.38,16.09,10.82,16.98,1.13,-1.01,0.4,2474620.0,2894560.0
4.34375,909.99,18.65,21.66,16.35,0.32,15.1,0.88,0.16,0.55,10253654.0,11996816.0
3.59375,910.32,20.4,24.55,16.12,0.65,15.47,0.9,0.59,0.01,15124236.0,17699644.0
2.875,908.45,21.3,25.11,17.97,0.81,15.57,0.82,0.07,0.08,15707212.0,18386620.0
2.5625,906.79,20.1,22.43,18.23,2.17,16.95,0.59,-0.3,0.26,6969846.0,8160864.0
2.53125,908.69,17.67,19.38,15.64,16.16,17.18,1.36,-1.23,0.51,2390914.0,2800000.0
4.59375,913.31,15.68,16.37,14.83,2.87,14.4,0.78,-0.53,0.37,2109122.0,2470748.0
4.46875,914.29,16.77,19.52,13.71,0.29,13.86,0.9,-0.33,0.14,9671666.0,11333112.0
3.53125,913.22,19.28,22.88,14.45,0.18,14.61,0.85,-0.07,-0.01,16755288.0,19638468.0
2.75,910.92,19.07,22.03,16.65,14.02,16.5,0.7,-0.53,0.05,10120150.0,11864932.0
4.78125,908.75,16.84,17.81,15.9,8.05,15.96,0.8,-0.76,0.15,3015946.0,3536836.0
5.53125,905.08,16.94,18.68,15.79,5.28,16.03,1.0,-0.85,0.46,3465556.0,4065176.0
5.6875,905.23,17.56,19.6,15.86,3.99,15.91,1.1,-0.82,0.34,5413882.0,6352244.0
5.5,908.59,20.03,23.22,16.95,0.26,15.93,1.08,-0.31,0.45,12691022.0,14894380.0
4.46875,909.56,18.79,21.7,16.97,7.34,16.88,0.8,-0.46,0.17,6763172.0,7939112.0
4.75,910.58,17.88,19.6,16.45,3.44,16.48,0.55,-0.16,-0.27,3809556.0,4473188.0
4.65625,910.34,17.24,18.92,16.47,2.03,15.75,0.59,-0.37,-0.17,4194030.0,4925776.0
4.34375,908.81,17.77,19.66,16.65,4.2,16.19,0.55,-0.43,-0.24,4666556.0,5482212.0
4.34375,907.9,18.79,21.85,16.91,2.31,17.01,0.76,0.09,-0.19,6553386.0,7701064.0
3.96875,906.69,21.74,25.71,17.81,0.47,18.13,0.85,0.23,0.03,14460866.0,16997400.0
3.1875,904.66,22.48,25.31,19.58,0.15,18.45,0.67,0.12,0.08,11653280.0,13700976.0
2.6875,904.16,22.49,25.62,18.99,0.35,18.55,0.72,0.21,0.27,10742844.0,12631612.0
2.515625,903.79,24.44,29.63,17.57,0.02,18.1,0.92,0.43,0.24,20258540.0,23820636.0
2.484375,902.33,24.96,29.05,21.17,2.8,19.92,1.01,-0.71,0.02,18626184.0,21902240.0
2.484375,907.05,22.8,26.3,20.27,2.47,19.2,1.2,-0.17,0.84,10064872.0,11836152.0
2.515625,909.44,21.78,26.62,18.08,1.04,18.46,1.18,0.62,0.55,10855492.0,12766248.0
2.484375,907.36,23.19,27.4,18.45,0.03,17.59,0.73,0.39,0.13,17093656.0,20103412.0
2.46875,905.75,21.66,25.89,19.28,7.7,19.41,0.69,-0.54,0.11,11043284.0,12988308.0
3.125,905.18,19.61,21.13,18.52,6.93,18.22,0.76,-0.32,0.31,3347910.0,3937792.0
3.859375,904.82,19.79,22.18,17.81,0.72,18.44,0.53,0.39,0.2,5952836.0,7002132.0
3.296875,903.62,20.64,23.43,19.4,18.5,19.26,0.89,-0.69,0.12,10028394.0,11796268.0
5.21875,903.69,20.28,22.17,19.16,4.3,19.3,0.63,-0.49,0.2,3885224.0,4570480.0
5.078125,903.55,20.85,23.11,19.33,7.01,19.94,0.74,-0.59,0.13,5942628.0,6991152.0
5.046875,904.11,20.36,21.18,19.68,1.58,19.66,0.89,-0.6,0.28,3153048.0,3709424.0
4.40625,903.79,22.48,25.52,20.13,0.7,20.56,0.67,-0.22,-0.12,8865706.0,10430956.0
3.6875,901.58,24.37,27.39,21.53,3.78,22.09,0.85,-0.65,-0.25,14428882.0,16976936.0
3.53125,901.15,24.28,27.26,22.73,5.22,22.79,0.77,-0.62,-0.04,11192022.0,13169092.0
