runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
21.4375,808.71,17.57,22.02,13.31,1.0,11.22,0.8,-0.29,-0.67,13956590.0,15988206.0
18.21875,805.48,23.06,27.64,15.02,0.0,8.44,1.33,0.83,0.98,20541454.0,23528784.0
16.84375,806.52,24.0,28.85,16.62,0.02,7.21,1.03,0.55,0.82,23798684.0,27283768.0
16.34375,807.1,24.06,29.68,16.63,0.03,6.94,0.96,0.37,0.55,25518792.0,29281576.0
16.125,807.23,22.94,28.61,15.11,0.06,9.45,0.87,0.43,-0.21,22155100.0,25444350.0
16.0,806.86,20.31,26.52,14.51,0.23,12.32,0.88,-0.29,-0.8,15856702.0,18227012.0
15.90625,805.25,23.82,29.17,15.7,0.25,11.93,0.89,0.66,0.36,20220632.0,23263900.0
15.84375,806.54,21.56,28.18,13.8,0.37,11.82,1.07,0.08,-0.44,17651872.0,20326576.0
15.78125,809.17,17.66,22.09,14.26,1.79,10.05,0.62,-0.26,-0.4,10658862.0,12284860.0
15.6875,807.64,24.35,29.87,15.81,0.26,8.27,0.66,0.52,0.1,25173958.0,29039988.0
16.4375,806.69,22.48,28.82,17.32,26.54,15.56,0.82,0.74,0.27,18380230.0,21221788.0
24.46875,805.51,18.45,21.87,16.15,19.95,17.07,0.89,0.72,0.49,8608788.0,9948520.0
36.25,806.39,20.1,23.98,16.52,7.48,15.98,0.73,0.5,-0.27,14441706.0,16704248.0
41.40625,809.82,17.14,19.91,14.54,18.36,14.92,0.96,-0.42,-0.86,9595584.0,11108808.0
55.625,811.74,15.74,17.26,14.1,9.74,12.77,0.62,-0.24,-0.55,6244296.0,7235440.0
65.125,809.99,18.03,21.25,14.61,8.69,13.56,0.43,-0.03,-0.36,10419050.0,12083712.0
64.65625,807.35,20.57,24.78,16.36,14.09,16.41,0.43,0.12,-0.06,18290844.0,21232060.0
89.0625,807.31,20.4,25.54,16.33,24.19,17.22,0.76,0.22,-0.42,17869658.0,20761760.0
125.28125,811.07,14.77,17.21,12.04,11.67,13.29,1.11,-0.45,-1.0,5077182.0,5904364.0
138.15625,813.68,14.0,16.78,12.13,10.29,11.42,0.71,-0.22,-0.67,6139256.0,7145612.0
129.78125,814.12,15.3,17.26,13.16,4.67,11.86,0.45,0.14,-0.34,7749972.0,9028336.0
113.09375,811.49,15.27,16.45,14.26,14.5,13.91,0.41,0.03,-0.39,4150514.0,4839584.0
113.0,808.62,16.11,18.99,14.38,10.72,14.0,0.66,-0.04,-0.62,7672916.0,8955268.0
120.9375,805.71,18.15,23.32,14.76,10.37,15.95,0.92,0.81,0.38,13955464.0,16301300.0
121.90625,805.42,21.07,24.34,16.08,2.16,15.31,0.99,0.7,0.51,19347210.0,22619900.0
106.03125,808.49,19.18,23.7,15.32,5.51,14.91,1.01,-0.31,-0.94,15541140.0,18187000.0
95.03125,809.18,17.44,20.58,14.99,12.93,14.82,0.87,-0.16,-0.82,9147604.0,10714760.0
97.375,810.4,16.09,17.91,14.52,11.37,14.18,0.77,-0.28,-0.71,4608794.0,5403228.0
105.0625,809.81,16.4,19.18,14.53,10.4,14.51,0.82,-0.36,-0.72,7623688.0,8946048.0
