runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
38.78125,797.01,21.19,29.43,15.44,1.91,13.97,1.31,-0.71,-0.54,20861302.0,23639120.0
31.96875,801.61,12.03,15.98,9.82,2.25,9.19,1.91,-1.38,-1.3,8448560.0,9572426.0
25.5,797.56,15.33,25.74,10.18,0.58,10.6,1.17,-0.6,-0.4,11373502.0,12886552.0
20.65625,796.49,17.92,28.55,11.3,0.78,10.31,1.86,-0.86,0.14,21650420.0,24525878.0
17.3125,801.42,11.86,15.84,8.49,4.9,9.36,1.82,-1.34,-1.22,7200210.0,8156554.0
15.21875,801.76,11.03,13.98,8.19,2.26,7.77,1.21,-0.72,-0.93,5593566.0,6335716.0
14.28125,800.08,14.34,17.84,10.7,6.61,11.56,0.9,0.23,-0.46,6850588.0,7758524.0
14.75,796.78,18.53,26.99,11.1,1.19,10.73,2.1,-0.11,0.48,19965112.0,22610464.0
20.625,799.72,15.79,25.74,11.17,2.5,10.71,1.82,-1.42,-0.83,16581750.0,18776234.0
40.9375,800.84,15.19,19.83,11.26,3.29,10.98,1.33,-0.34,-1.18,9751566.0,11042882.0
44.375,796.47,20.59,28.56,13.77,0.22,9.58,1.89,0.68,0.91,20917924.0,23683316.0
35.53125,798.18,20.33,28.5,13.01,0.6,9.68,2.06,-0.09,0.73,25054398.0,28376906.0
27.4375,799.07,19.96,28.31,13.4,0.49,9.95,1.85,-0.13,0.34,23702104.0,26855104.0
21.59375,799.8,18.05,26.16,12.08,1.2,11.05,1.5,-0.55,-0.88,16643348.0,18865782.0
17.59375,799.48,15.79,22.76,12.15,1.15,11.07,1.43,-1.0,-0.92,12935706.0,14668224.0
14.875,797.29,18.5,28.45,11.85,0.91,12.25,1.36,-0.58,-0.11,15098406.0,17128588.0
13.03125,799.73,14.68,22.05,10.11,1.25,10.62,2.03,-1.7,-1.07,15748002.0,17870876.0
11.78125,800.68,15.04,21.42,10.22,0.13,9.19,1.39,-0.88,-0.57,12291930.0,13953148.0
