runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
30.53125,788.76,16.92,23.23,11.0,0.05,0.1,0.92,-0.03,-0.38,20709122.0,23806640.0
30.59375,781.24,19.89,25.23,11.82,0.0,-3.38,1.95,1.24,1.34,22323174.0,25660636.0
31.125,782.25,9.84,17.26,3.29,2.03,5.06,1.51,0.4,-1.22,16495732.0,18961620.0
31.875,782.22,6.55,15.46,1.41,1.75,2.59,1.72,0.61,-1.12,14245936.0,16382148.0
31.6875,791.65,-0.87,1.46,-3.53,9.58,-2.7,1.72,-0.73,-1.55,3708478.0,4570674.0
30.59375,794.36,-2.15,-0.78,-3.95,5.75,-4.03,1.21,-0.37,-0.26,3100762.0,7864934.0
28.4375,789.53,1.52,9.13,-4.18,4.27,-0.89,1.19,-0.02,-0.04,7948780.0,21730948.0
27.65625,792.31,3.81,5.86,-0.8,1.19,1.86,0.69,-0.21,-0.62,7436404.0,14732688.0
28.25,787.02,7.06,10.27,3.73,1.76,5.31,1.1,0.63,-0.56,6216992.0,8752212.0
29.4375,785.72,8.15,14.15,3.98,6.38,6.1,1.1,0.27,-0.48,10754422.0,13176368.0
34.28125,785.92,6.43,11.38,3.89,1.3,4.67,0.92,0.52,-0.57,6140170.0,7193944.0
36.53125,783.61,9.0,17.27,1.85,8.47,4.95,2.06,0.67,-0.03,13571104.0,15724934.0
41.875,789.33,0.49,2.54,-0.93,8.01,-1.31,1.42,-0.52,-1.32,5446970.0,8752140.0
46.125,788.82,0.39,1.59,-0.73,4.29,-0.91,0.97,-0.27,-0.8,3708928.0,7910996.0
42.40625,786.29,7.99,14.36,1.65,4.5,5.76,0.81,-0.06,0.34,8752306.0,14672426.0
45.75,785.97,13.61,19.8,4.34,0.34,8.96,0.97,0.29,0.79,15728974.0,19763596.0
49.3125,785.35,11.86,19.54,5.38,6.63,7.95,1.37,0.14,-0.2,16151852.0,18925596.0
57.28125,791.0,4.4,7.6,1.87,10.14,2.99,1.48,-0.33,-1.42,6319774.0,7324368.0
68.03125,792.3,3.66,9.26,-1.14,6.59,2.66,0.81,-0.3,-0.12,7182592.0,9650876.0
