runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
9.3125,768.61,16.65,25.36,5.92,0.15,-0.09,2.03,0.04,0.66,22077736.0,24811180.0
9.3125,768.51,15.9,24.51,6.03,0.04,2.84,2.53,0.49,0.88,16991352.0,19096708.0
10.0625,776.2,5.49,13.67,0.47,1.15,-0.6,3.44,-2.96,-1.56,11844394.0,13312394.0
12.28125,780.16,2.93,5.89,0.57,1.44,-2.44,2.02,-0.25,-1.23,6541304.0,7713740.0
13.5625,775.27,11.32,21.39,2.01,0.07,0.21,2.76,0.4,0.4,20706986.0,24252170.0
14.71875,778.61,9.34,14.5,2.39,0.97,1.32,2.11,1.63,-0.92,12178904.0,13799550.0
13.90625,774.15,12.6,19.22,6.15,0.46,5.83,3.14,2.92,0.7,13229516.0,14895618.0
12.84375,772.16,12.97,20.02,7.44,2.13,5.19,2.34,0.15,1.33,17112882.0,19244840.0
13.59375,772.42,13.17,18.6,7.39,1.0,4.95,1.51,1.02,0.74,13334434.0,14992906.0
13.28125,770.53,14.04,20.7,4.48,0.4,2.75,3.54,0.99,1.88,21937842.0,24670168.0
16.71875,774.82,6.16,8.97,4.5,9.94,3.88,1.85,-0.85,-1.47,5372542.0,6045584.0
18.71875,774.44,7.68,12.11,4.61,10.34,5.76,1.48,0.19,-1.36,6581080.0,7404266.0
18.59375,772.58,14.84,20.97,7.06,0.15,5.48,2.31,1.4,1.54,18822652.0,21172162.0
19.46875,773.09,15.49,21.72,9.03,0.36,6.2,1.61,0.42,1.21,21034826.0,23660948.0
17.46875,771.78,16.14,22.94,6.88,0.98,5.56,2.56,0.26,1.42,22645970.0,25475406.0
17.53125,776.82,9.95,14.31,6.78,3.65,6.38,1.87,-0.54,-1.59,8526564.0,9589340.0
20.46875,777.66,11.19,20.62,5.05,4.19,5.67,1.96,-0.34,-0.18,14025756.0,15778362.0
20.6875,773.97,14.45,21.82,5.89,0.0,-0.36,2.25,1.6,1.45,24870780.0,27984834.0
18.3125,769.1,18.42,24.45,10.47,0.01,2.75,1.97,0.63,1.58,24410046.0,27468300.0
16.0625,768.52,17.67,23.68,10.16,0.24,5.66,2.27,1.63,1.19,21403078.0,24085716.0
17.90625,768.91,18.17,24.28,11.26,0.0,3.52,3.12,0.67,2.82,23698308.0,26670882.0
16.75,772.4,18.06,26.81,10.04,7.54,6.08,1.53,-0.15,-0.14,21946292.0,24700894.0
17.125,772.12,15.96,23.84,10.27,1.15,7.21,2.46,2.07,0.08,10964578.0,12340048.0
17.65625,776.13,11.33,18.11,6.73,5.68,5.32,1.9,-1.17,-0.97,17282888.0,19453908.0
21.5625,776.89,14.4,22.59,8.49,0.08,6.0,1.61,1.02,-0.32,20801530.0,23419574.0
20.40625,774.69,16.5,24.42,10.83,0.33,8.82,2.51,2.21,0.39,20217614.0,22761600.0
17.53125,773.65,16.62,23.04,9.08,1.12,8.57,2.29,1.0,-0.0,20939184.0,23573664.0
16.03125,773.07,13.24,19.18,8.98,8.66,9.85,0.99,0.18,-0.45,12007456.0,13516436.0
13.8125,768.87,17.81,23.63,12.55,0.01,7.25,1.74,1.15,1.03,20623486.0,23216552.0
12.71875,768.06,17.05,23.02,10.32,0.56,8.48,2.42,0.89,1.48,19373018.0,21807970.0
13.1875,773.76,12.23,18.8,6.74,22.37,8.53,2.0,-0.95,-1.19,8528256.0,9598860.0
14.5625,779.34,5.4,8.46,2.26,8.98,4.33,1.93,-1.57,-0.76,3417824.0,3847116.0
18.40625,776.96,9.17,12.41,3.29,0.05,5.19,2.01,1.75,-0.19,8436506.0,9525996.0
18.21875,772.15,14.11,21.33,7.82,0.97,8.39,2.41,1.86,1.41,18629332.0,20980688.0
17.46875,776.14,11.43,21.09,4.83,10.7,7.3,2.02,-1.11,0.13,17423146.0,19609836.0
29.5,780.09,6.83,9.54,2.52,4.4,4.2,1.43,-0.56,0.09,7200946.0,8105932.0
29.46875,776.56,13.04,18.37,4.06,0.02,4.69,1.13,0.49,0.84,22877764.0,25750038.0
24.75,777.47,10.61,17.12,4.25,5.61,5.33,1.38,-0.04,-0.48,15531924.0,17482966.0
20.59375,776.39,14.37,20.54,7.2,0.0,5.74,1.41,0.97,-0.05,25657120.0,28876186.0
18.46875,777.14,14.8,19.84,10.29,14.86,9.8,1.15,0.34,-0.33,16940548.0,19064472.0
19.8125,777.33,13.61,17.33,11.13,7.09,10.94,1.46,0.21,-0.79,13822180.0,15554416.0
18.78125,773.87,16.25,21.1,12.68,1.31,11.63,2.13,1.98,0.14,19244050.0,21658452.0
16.3125,768.59,17.87,22.96,11.6,0.1,11.09,2.6,1.79,1.61,19689400.0,22157508.0
17.0625,768.52,19.77,25.18,13.89,0.0,9.67,1.65,0.06,1.33,23586178.0,26542268.0
18.875,769.87,20.17,26.4,13.97,0.44,11.45,1.43,0.4,0.11,23282098.0,26199360.0
32.0625,772.93,15.08,20.57,11.15,2.87,11.28,2.15,-1.23,-1.56,15457938.0,17390752.0
31.9375,769.96,17.97,25.7,12.2,0.45,11.09,2.63,2.2,1.14,15019692.0,16899734.0
27.78125,768.97,19.58,26.21,11.6,0.22,9.51,2.46,0.44,1.4,23592882.0,26548006.0
24.28125,772.86,13.02,18.6,9.81,11.17,10.18,2.06,-1.38,-1.48,13199306.0,14848404.0
28.90625,773.39,11.52,15.06,9.88,4.03,9.11,1.77,0.24,-1.61,7392202.0,8316988.0
28.34375,772.47,13.83,17.41,10.7,14.22,11.92,1.95,1.52,-0.98,7736850.0,8705032.0
